files,curr_date,version,file_urls,make,model
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-SX4/Suzuki-SX4-1.6-GLX-AllGrip-auto_SuzuSX42e5_3v.jpg', 'path': 'full/bbff9a90434964a56eed773256e1ab55d71ea2af.jpg', 'checksum': 'b5792fea7626978c566666debbe63b2a'}]",2016/08/07,"
            1.6 GLX AllGrip auto    ",http://www.cars.co.za/carimages_gen/Suzuki-SX4/Suzuki-SX4-1.6-GLX-AllGrip-auto_SuzuSX42e5_3v.jpg,Suzuki,SX4
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Jimny/Suzuki-Jimny-1.3-auto_SuzuJimn1fe3v.jpg', 'path': 'full/84978d67b115986c883010bd12c7ba394c0f7d48.jpg', 'checksum': 'ff98069f2ec0436a4bf3a5dab0ac6dff'}]",2016/08/07,"
            1.3 auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Jimny/Suzuki-Jimny-1.3-auto_SuzuJimn1fe3v.jpg,Suzuki,Jimny
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Jimny/Suzuki-Jimny-1.3-auto_SuzuJimn1fe3_2v.jpg', 'path': 'full/af3542e0c6466dff1013803f5fc17298f1934833.jpg', 'checksum': '52a0b248133685ea0125aebba8abe5f6'}]",2016/08/07,"
            1.3 auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Jimny/Suzuki-Jimny-1.3-auto_SuzuJimn1fe3_2v.jpg,Suzuki,Jimny
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Jimny/Suzuki-Jimny-1.3-auto_SuzuJimn1fe3_3v.jpg', 'path': 'full/0276888aeb6703c27563997157db70d4cdfd490b.jpg', 'checksum': 'b5ddaf3aee8072476e5ed7124a1544b8'}]",2016/08/07,"
            1.3 auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Jimny/Suzuki-Jimny-1.3-auto_SuzuJimn1fe3_3v.jpg,Suzuki,Jimny
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Grand-Vitara/Suzuki-Grand-Vitara-2.4-Summit-auto_SuzuGraV3fe6v.jpg', 'path': 'full/35f3de42c2512e0fee574dd7a2a412f07439c294.jpg', 'checksum': '98aaf291692854eb85f7e822aa3cd8e0'}]",2016/08/07,"
            2.4 Summit auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Grand-Vitara/Suzuki-Grand-Vitara-2.4-Summit-auto_SuzuGraV3fe6v.jpg,Suzuki,Grand Vitara
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Grand-Vitara/Suzuki-Grand-Vitara-2.4-Summit-auto_SuzuGraV3fe6_2v.jpg', 'path': 'full/6e8b0e0f0aca4f64e227f04ad33880d74cfa5728.jpg', 'checksum': '67ded7ae54e5df6b5f94c39169c62f01'}]",2016/08/07,"
            2.4 Summit auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Grand-Vitara/Suzuki-Grand-Vitara-2.4-Summit-auto_SuzuGraV3fe6_2v.jpg,Suzuki,Grand Vitara
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Grand-Vitara/Suzuki-Grand-Vitara-2.4-Summit-auto_SuzuGraV3fe6_3v.jpg', 'path': 'full/e66f357cef94e6942aa5cdcf5752a7a5d0fdbec0.jpg', 'checksum': '40b78f465a70f6422ad4e75328b87b59'}]",2016/08/07,"
            2.4 Summit auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Grand-Vitara/Suzuki-Grand-Vitara-2.4-Summit-auto_SuzuGraV3fe6_3v.jpg,Suzuki,Grand Vitara
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Ciaz/Suzuki-Ciaz-1.4-GLX-auto_SuzuCiaz1s3v.jpg', 'path': 'full/5e444b8ee4a45717c66099b9e438b4d53734cc9b.jpg', 'checksum': '1a9a4fe31b6475e9551e2fd192624433'}]",2016/08/07,"
            1.4 GLX auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Ciaz/Suzuki-Ciaz-1.4-GLX-auto_SuzuCiaz1s3v.jpg,Suzuki,Ciaz
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Ciaz/Suzuki-Ciaz-1.4-GLX-auto_SuzuCiaz1s3_2v.jpg', 'path': 'full/e1af369ac75c293f86383643ea1a1b8d556a4933.jpg', 'checksum': 'a7f2352d68c3332565826225a3df05d0'}]",2016/08/07,"
            1.4 GLX auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Ciaz/Suzuki-Ciaz-1.4-GLX-auto_SuzuCiaz1s3_2v.jpg,Suzuki,Ciaz
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Ciaz/Suzuki-Ciaz-1.4-GLX-auto_SuzuCiaz1s3_3v.jpg', 'path': 'full/b0b0c238fa6626e71d624d9a91671387e3989f3c.jpg', 'checksum': '5bd0504c54750e2ada7766a0b6f7ed05'}]",2016/08/07,"
            1.4 GLX auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Ciaz/Suzuki-Ciaz-1.4-GLX-auto_SuzuCiaz1s3_3v.jpg,Suzuki,Ciaz
